URL,Repo,pom-check,PR,merged
https://github.com/zo0r/react-native-push-notification,zo0r/react-native-push-notification,none,258,127
https://github.com/williamfiset/Algorithms,williamfiset/Algorithms,none,71,38
https://github.com/jfoenixadmin/JFoenix,jfoenixadmin/JFoenix,none,141,111
https://github.com/SonarSource/sonarqube,SonarSource/sonarqube,none,3239,2187
https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,amitshekhariitbhu/RxJava2-Android-Samples,none,29,25
https://github.com/spring-projects/spring-mvc-showcase,spring-projects/spring-mvc-showcase,include-Pom,29,8
https://github.com/etsy/AndroidStaggeredGrid,etsy/AndroidStaggeredGrid,none,30,24
https://github.com/careercup/ctci,careercup/ctci,none,99,76
https://github.com/haifengl/smile,haifengl/smile,none,150,96
https://github.com/CameraKit/camerakit-android,CameraKit/camerakit-android,none,110,73
https://github.com/orhanobut/dialogplus,orhanobut/dialogplus,none,48,36
https://github.com/rest-assured/rest-assured,rest-assured/rest-assured,include-Pom,162,142
https://github.com/mrniko/netty-socketio,mrniko/netty-socketio,include-Pom,87,64
https://github.com/Vedenin/useful-java-links,Vedenin/useful-java-links,none,64,61
https://github.com/square/sqlbrite,square/sqlbrite,none,126,111
https://github.com/saiwu-bigkoo/Android-ConvenientBanner,saiwu-bigkoo/Android-ConvenientBanner,none,15,7
https://github.com/google/grafika,google/grafika,none,12,5
https://github.com/Ramotion/folding-cell-android,Ramotion/folding-cell-android,none,20,17
https://github.com/google/cameraview,google/cameraview,none,45,15
https://github.com/YunaiV/SpringBoot-Labs,YunaiV/SpringBoot-Labs,include-Pom,2,1
https://github.com/apache/dubbo-spring-boot-project,apache/dubbo-spring-boot-project,include-Pom,198,159
https://github.com/hongyangAndroid/baseAdapter,hongyangAndroid/baseAdapter,none,3,0
https://github.com/JakeWharton/NineOldAndroids,JakeWharton/NineOldAndroids,include-Pom,12,5
https://github.com/wasabeef/Blurry,wasabeef/Blurry,none,13,12
https://github.com/jdamcd/android-crop,jdamcd/android-crop,none,44,25
https://github.com/square/android-times-square,square/android-times-square,none,156,108
https://github.com/SplashCodes/JAViewer,SplashCodes/JAViewer,none,20,4
https://github.com/socketio/socket.io-client-java,socketio/socket.io-client-java,include-Pom,31,21
https://github.com/aporter/coursera-android,aporter/coursera-android,none,16,5
https://github.com/hibernate/hibernate-orm,hibernate/hibernate-orm,none,3238,711
https://github.com/alibaba/dexposed,alibaba/dexposed,none,8,3
https://github.com/cryptomator/cryptomator,cryptomator/cryptomator,none,86,66
https://github.com/AndroidBootstrap/android-bootstrap,AndroidBootstrap/android-bootstrap,none,43,32
https://github.com/MindorksOpenSource/android-mvp-architecture,MindorksOpenSource/android-mvp-architecture,none,15,12
https://github.com/jgilfelt/chuck,jgilfelt/chuck,none,19,8
https://github.com/danikula/AndroidVideoCache,danikula/AndroidVideoCache,none,13,2
https://github.com/OpenTSDB/opentsdb,OpenTSDB/opentsdb,include-Pom,938,389
https://github.com/react-native-community/react-native-device-info,react-native-community/react-native-device-info,none,404,288
https://github.com/careercup/ctci,careercup/ctci,none,99,76
https://github.com/haifengl/smile,haifengl/smile,none,150,96
https://github.com/Devlight/NavigationTabBar,Devlight/NavigationTabBar,none,11,10
https://github.com/apache/zeppelin,apache/zeppelin,include-Pom,3739,23
https://github.com/gabrielemariotti/cardslib,gabrielemariotti/cardslib,none,42,12
https://github.com/rest-assured/rest-assured,rest-assured/rest-assured,include-Pom,162,142
https://github.com/mrniko/netty-socketio,mrniko/netty-socketio,include-Pom,87,64
https://github.com/Vedenin/useful-java-links,Vedenin/useful-java-links,none,64,61
https://github.com/andkulikov/Transitions-Everywhere,andkulikov/Transitions-Everywhere,none,14,13
https://github.com/square/sqlbrite,square/sqlbrite,none,126,111
https://github.com/saiwu-bigkoo/Android-ConvenientBanner,saiwu-bigkoo/Android-ConvenientBanner,none,15,7
https://github.com/google/grafika,google/grafika,none,12,5
https://github.com/Ramotion/folding-cell-android,Ramotion/folding-cell-android,none,20,17
https://github.com/Alluxio/alluxio,Alluxio/alluxio,include-Pom,10815,9193
https://github.com/google/cameraview,google/cameraview,none,45,15
https://github.com/YunaiV/SpringBoot-Labs,YunaiV/SpringBoot-Labs,include-Pom,2,1
https://github.com/apache/tomcat,apache/tomcat,none,292,50
https://github.com/chentao0707/SimplifyReader,chentao0707/SimplifyReader,none,12,11
https://github.com/go-lang-plugin-org/go-lang-idea-plugin,go-lang-plugin-org/go-lang-idea-plugin,none,646,473
https://github.com/Karumi/Dexter,Karumi/Dexter,none,94,70
https://github.com/danielzeller/Depth-LIB-Android-,danielzeller/Depth-LIB-Android-,none,8,7
https://github.com/JakeWharton/NineOldAndroids,JakeWharton/NineOldAndroids,include-Pom,12,5
https://github.com/Tencent/Shadow,Tencent/Shadow,none,121,104
https://github.com/wasabeef/Blurry,wasabeef/Blurry,none,13,12
https://github.com/li-xiaojun/XPopup,li-xiaojun/XPopup,none,6,2
https://github.com/jdamcd/android-crop,jdamcd/android-crop,none,44,25
https://github.com/Flipboard/bottomsheet,Flipboard/bottomsheet,none,65,44
https://github.com/zhanghai/Douya,zhanghai/Douya,none,2,0
https://github.com/SplashCodes/JAViewer,SplashCodes/JAViewer,none,20,4
https://github.com/bytedeco/javacv,bytedeco/javacv,include-Pom,108,89
https://github.com/newbee-ltd/newbee-mall,newbee-ltd/newbee-mall,include-Pom,4,0
https://github.com/socketio/socket.io-client-java,socketio/socket.io-client-java,include-Pom,31,21
https://github.com/kyleduo/SwitchButton,kyleduo/SwitchButton,none,10,5
https://github.com/alibaba/dexposed,alibaba/dexposed,none,8,3
https://github.com/romandanylyk/PageIndicatorView,romandanylyk/PageIndicatorView,none,19,14
https://github.com/AndroidBootstrap/android-bootstrap,AndroidBootstrap/android-bootstrap,none,43,32
https://github.com/MindorksOpenSource/android-mvp-architecture,MindorksOpenSource/android-mvp-architecture,none,15,12
https://github.com/jgilfelt/chuck,jgilfelt/chuck,none,19,8
https://github.com/danikula/AndroidVideoCache,danikula/AndroidVideoCache,none,13,2
https://github.com/ZXZxin/ZXBlog,ZXZxin/ZXBlog,none,0,0
https://github.com/spring-projects/spring-security-oauth,spring-projects/spring-security-oauth,include-Pom,433,36
https://github.com/alibaba/flutter_boost,alibaba/flutter_boost,none,99,58
https://github.com/pedrovgs/AndroidWiFiADB,pedrovgs/AndroidWiFiADB,none,11,10
https://github.com/facebook/shimmer-android,facebook/shimmer-android,none,26,12
https://github.com/ffay/lanproxy,ffay/lanproxy,include-Pom,4,2
https://github.com/Yalantis/Phoenix,Yalantis/Phoenix,none,5,1
https://github.com/puniverse/quasar,puniverse/quasar,none,51,35
https://github.com/hugeterry/CoordinatorTabLayout,hugeterry/CoordinatorTabLayout,none,0,0
https://github.com/baoyachi/StepView,baoyachi/StepView,none,2,2
https://github.com/awangdev/LintCode,awangdev/LintCode,none,12,1
https://github.com/alibaba/jstorm,alibaba/jstorm,include-Pom,67,30
https://github.com/rubensousa/ViewPagerCards,rubensousa/ViewPagerCards,none,1,0
https://github.com/firebase/FirebaseUI-Android,firebase/FirebaseUI-Android,none,722,612
https://github.com/527515025/springBoot,527515025/springBoot,none,15,0
https://github.com/MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,none,3439,1558
https://github.com/yasserg/crawler4j,yasserg/crawler4j,none,137,89
https://github.com/ChadCSong/ShineButton,ChadCSong/ShineButton,none,5,5
https://github.com/btraceio/btrace,btraceio/btrace,none,60,53
https://github.com/robinhood/ticker,robinhood/ticker,none,49,46
https://github.com/Anuken/Mindustry,Anuken/Mindustry,none,1344,905
https://github.com/dinuscxj/LoadingDrawable,dinuscxj/LoadingDrawable,none,2,1
https://github.com/razerdp/BasePopup,razerdp/BasePopup,include-Pom,7,7
https://github.com/vavr-io/vavr,vavr-io/vavr,none,1494,1393
https://github.com/bingoogolapple/BGABanner-Android,bingoogolapple/BGABanner-Android,none,38,36
https://github.com/roboguice/roboguice,roboguice/roboguice,include-Pom,61,40
https://github.com/aurelhubert/ahbottomnavigation,aurelhubert/ahbottomnavigation,none,41,28
https://github.com/hazelcast/hazelcast,hazelcast/hazelcast,include-Pom,10871,9571
https://github.com/sofastack/sofa-boot,sofastack/sofa-boot,include-Pom,355,317
https://github.com/airbnb/DeepLinkDispatch,airbnb/DeepLinkDispatch,none,137,122
https://github.com/languagetool-org/languagetool,languagetool-org/languagetool,include-Pom,738,559
https://github.com/hustcc/JS-Sorting-Algorithm,hustcc/JS-Sorting-Algorithm,none,21,16
https://github.com/Manabu-GT/ExpandableTextView,Manabu-GT/ExpandableTextView,none,10,6
https://github.com/MiguelCatalan/MaterialSearchView,MiguelCatalan/MaterialSearchView,none,17,8
https://github.com/yanzhenjie/NoHttp,yanzhenjie/NoHttp,none,9,0
https://github.com/cjlin1/libsvm,cjlin1/libsvm,none,28,0
https://github.com/Meituan-Dianping/Robust,Meituan-Dianping/Robust,none,93,79
https://github.com/orhanobut/hawk,orhanobut/hawk,none,66,50
https://github.com/bitcoinj/bitcoinj,bitcoinj/bitcoinj,none,907,215
https://github.com/alibaba/jvm-sandbox,alibaba/jvm-sandbox,include-Pom,80,55
https://github.com/timehop/sticky-headers-recyclerview,timehop/sticky-headers-recyclerview,none,29,25
https://github.com/nytimes/Store,nytimes/Store,none,218,190
https://github.com/rockerhieu/emojicon,rockerhieu/emojicon,none,35,22
https://github.com/apache/lucene-solr,apache/lucene-solr,none,1318,595
https://github.com/ThirtyDegreesRay/OpenHub,ThirtyDegreesRay/OpenHub,none,46,24
https://github.com/spring-projects/spring-data-examples,spring-projects/spring-data-examples,include-Pom,151,46
https://github.com/iNPUTmice/Conversations,iNPUTmice/Conversations,none,865,499
https://github.com/codingapi/tx-lcn,codingapi/tx-lcn,include-Pom,66,43
https://github.com/raphw/byte-buddy,raphw/byte-buddy,include-Pom,130,107
https://github.com/litesuits/android-common,litesuits/android-common,none,5,3
https://github.com/baoyongzhang/SwipeMenuListView,baoyongzhang/SwipeMenuListView,none,13,10
https://github.com/tyrantgit/ExplosionField,tyrantgit/ExplosionField,none,7,2
https://github.com/zhanglei-workspace/shopping-management-system,zhanglei-workspace/shopping-management-system,none,4,0
https://github.com/xcc3641/SeeWeather,xcc3641/SeeWeather,none,8,3
https://github.com/databricks/learning-spark,databricks/learning-spark,include-Pom,9,5
https://github.com/yhaolpz/FloatWindow,yhaolpz/FloatWindow,none,7,3
https://github.com/apache/incubator-heron,apache/incubator-heron,none,2484,2226
https://github.com/roncoo/roncoo-pay,roncoo/roncoo-pay,include-Pom,10,5
https://github.com/brianway/java-learning,brianway/java-learning,include-Pom,11,3
https://github.com/zzhoujay/RichText,zzhoujay/RichText,none,8,2
https://github.com/Orbiter/anomic_ftp_server,Orbiter/anomic_ftp_server,none,0,0
https://github.com/RadiusNetworks/android-ibeacon-service,RadiusNetworks/android-ibeacon-service,none,8,5
https://github.com/goldze/MVVMHabitComponent,goldze/MVVMHabitComponent,none,0,0
https://github.com/thiagolocatelli/android-uitableview,thiagolocatelli/android-uitableview,none,10,8
https://github.com/romtsn/ArcNavigationView,romtsn/ArcNavigationView,none,2,2
https://github.com/konifar/droidkaigi2016,konifar/droidkaigi2016,none,285,270
https://github.com/jfrog/project-examples,jfrog/project-examples,none,116,73
https://github.com/Himself65/OpenArkCompiler,Himself65/OpenArkCompiler,none,0,0
https://github.com/wealthfront/magellan,wealthfront/magellan,none,33,20
https://github.com/sitewhere/sitewhere,sitewhere/sitewhere,none,95,88
https://github.com/JeasonWong/SlackLoadingView,JeasonWong/SlackLoadingView,none,2,2
https://github.com/MZCretin/AutoUpdateProject,MZCretin/AutoUpdateProject,none,0,0
https://github.com/facebookarchive/jcommon,facebookarchive/jcommon,include-Pom,39,29
https://github.com/StylingAndroid/Prism,StylingAndroid/Prism,none,5,2
https://github.com/MewX/light-novel-library_Wenku8_Android,MewX/light-novel-library_Wenku8_Android,none,7,6
https://github.com/douban/rexxar-android,douban/rexxar-android,none,69,67
https://github.com/GoodieBag/CarouselPicker,GoodieBag/CarouselPicker,none,1,1
https://github.com/ctripcorp/apollo-use-cases,ctripcorp/apollo-use-cases,include-Pom,18,18
https://github.com/ccj659/PopsTabView,ccj659/PopsTabView,none,0,0
https://github.com/ManuelPeinado/RefreshActionItem,ManuelPeinado/RefreshActionItem,include-Pom,5,5
https://github.com/AndroidAlliance/EdgeEffectOverride,AndroidAlliance/EdgeEffectOverride,none,9,7
https://github.com/jiangzehui/polygonsview,jiangzehui/polygonsview,none,0,0
https://github.com/dommerq/SuperListview,dommerq/SuperListview,none,16,15
https://github.com/DigitalPebble/storm-crawler,DigitalPebble/storm-crawler,include-Pom,259,226
https://github.com/jess-anders/two-way-gridview,jess-anders/two-way-gridview,none,3,2
https://github.com/JeasonWong/ElemeShoppingView,JeasonWong/ElemeShoppingView,none,0,0
https://github.com/TestFX/TestFX,TestFX/TestFX,none,363,314
https://github.com/RomanTruba/AndroidTouchGallery,RomanTruba/AndroidTouchGallery,none,10,10
https://github.com/premnirmal/Magnet,premnirmal/Magnet,none,11,8
https://github.com/erikwt/PullToRefresh-ListView,erikwt/PullToRefresh-ListView,none,9,4
https://github.com/LRH1993/AutoFlowLayout,LRH1993/AutoFlowLayout,none,0,0
https://github.com/nuptboyzhb/AndroidPluginFramework,nuptboyzhb/AndroidPluginFramework,none,0,0
https://github.com/Cleveroad/FireworkyPullToRefresh,Cleveroad/FireworkyPullToRefresh,none,8,8
https://github.com/lawloretienne/ImageGallery,lawloretienne/ImageGallery,none,5,2
https://github.com/ikew0ng/Dribbo,ikew0ng/Dribbo,none,4,2
https://github.com/yegor256/takes,yegor256/takes,include-Pom,411,336
https://github.com/hypertrack/live-app-android,hypertrack/live-app-android,none,12,9
https://github.com/dynamitechetan/FogView_Library,dynamitechetan/FogView_Library,none,0,0
https://github.com/dcm4che/dcm4che,dcm4che/dcm4che,include-Pom,237,175
https://github.com/mzgreen/HideOnScrollExample,mzgreen/HideOnScrollExample,none,1,1
https://github.com/akshay2211/Oblique,akshay2211/Oblique,none,2,1
https://github.com/huntermr/FastAndroid,huntermr/FastAndroid,none,5,4
